,City,Lng,Lat,Weather Id,Weather Main,Weather Description,Weather Icon,Base,Main Temp,Main Pressure,Humidity,Min Temp,Max Temp,Sea Level,Grnd Level,Wind Speed,Wind Deg,Cloudiness,Date,Country,Sunrise,Sunset,Timezone,id,cod
257,Mequon,-87.98,43.22,800,Clear,clear sky,01n,stations,274.7,1002,84,272.04,276.15,,,3.6,270.0,1,1575422811,US,1575378375,1575411448,-21600,5262649,200
258,La Ronge,-105.3,55.1,802,Clouds,scattered clouds,03n,stations,271.15,999,79,271.15,271.15,,,3.1,280.0,40,1575422811,CA,1575385555,1575412584,-21600,6050066,200
259,Taywarah,64.42,33.35,800,Clear,clear sky,01n,model,270.98,1020,41,270.98,270.98,1020.0,742.0,1.83,126.0,0,1575422811,AF,1575426616,1575462882,16200,1122464,200
260,Pascagoula,-88.56,30.37,800,Clear,clear sky,01n,stations,279.6,1016,86,276.15,283.15,,,1.38,234.0,1,1575422812,US,1575376497,1575413605,-21600,4440397,200
261,Christchurch,172.64,-43.53,802,Clouds,scattered clouds,03d,stations,296.56,992,29,295.37,298.15,,,8.7,340.0,35,1575422553,NZ,1575391392,1575446147,46800,2192362,200
262,Yurino,46.29,56.29,600,Snow,light snow,13n,stations,266.15,1010,92,266.15,266.15,,,2.0,160.0,75,1575422812,RU,1575436058,1575462145,10800,466423,200
263,Umm Kaddadah,26.69,13.6,800,Clear,clear sky,01n,model,292.35,1013,32,292.35,292.35,1013.0,938.0,5.35,23.0,0,1575422812,SD,1575433343,1575474270,7200,364933,200
264,Camabatela,15.37,-8.19,500,Rain,light rain,10n,model,291.17,1012,97,291.17,291.17,1012.0,877.0,2.63,261.0,100,1575422812,AO,1575433899,1575479150,3600,2242885,200
265,Narsaq,-46.05,60.91,800,Clear,clear sky,01n,stations,265.15,995,52,265.15,265.15,,,4.6,250.0,8,1575422812,GL,1575373846,1575395845,-10800,3421719,200
266,Saint-Pierre,4.24,48.95,741,Fog,fog,50n,stations,270.98,1023,100,270.15,272.15,,,3.6,40.0,90,1575422812,FR,1575443933,1575474460,3600,2995603,200
267,Geneva,6.15,46.2,803,Clouds,broken clouds,04n,stations,273.18,1022,69,269.82,277.15,,,1.0,,75,1575422812,FR,1575442839,1575474637,3600,6458783,200
268,Mandera,41.86,3.94,802,Clouds,scattered clouds,03n,stations,296.48,1010,35,296.48,296.48,,,0.45,326.0,25,1575422812,ET,1575428735,1575471595,10800,187896,200
269,Quimper,-4.1,48.0,800,Clear,clear sky,01n,stations,274.92,1020,92,273.15,276.48,,,2.6,70.0,0,1575422812,FR,1575445708,1575476689,3600,2984701,200
270,Comodoro Rivadavia,-67.48,-45.87,803,Clouds,broken clouds,04n,stations,283.15,1022,87,283.15,283.15,,,3.1,270.0,63,1575422689,AR,1575362115,1575417866,-10800,3860443,200
271,Souillac,-0.6,45.6,800,Clear,clear sky,01n,stations,273.45,1019,92,272.15,276.48,,,1.0,80.0,0,1575422813,FR,1575444332,1575476385,3600,3026644,200
272,Svetlaya,138.33,46.54,804,Clouds,overcast clouds,04d,model,260.86,1006,60,260.86,260.86,1006.0,1002.0,7.02,281.0,100,1575422813,RU,1575411165,1575442847,36000,2015852,200
273,Isangel,169.27,-19.55,500,Rain,light rain,10d,stations,301.15,1011,78,301.15,301.15,,,4.1,220.0,44,1575422813,VU,1575395754,1575443402,39600,2136825,200
274,Luwuk,122.79,-0.95,804,Clouds,overcast clouds,04d,model,300.89,1011,70,300.89,300.89,1011.0,1010.0,0.89,193.0,100,1575422813,ID,1575408829,1575452645,28800,1637001,200
275,Cockburn Town,-71.14,21.46,800,Clear,clear sky,01n,model,300.11,1014,68,300.11,300.11,1014.0,1014.0,3.34,325.0,0,1575422813,TC,1575371238,1575410500,-18000,3576994,200
276,Vung Tau,107.08,10.35,804,Clouds,overcast clouds,04d,model,294.3,1013,76,294.3,294.3,1013.0,1012.0,2.46,7.0,94,1575422813,VN,1575413712,1575455304,25200,1562414,200
277,Santa Isabel do Rio Negro,-65.02,-0.41,804,Clouds,overcast clouds,04n,model,298.15,1009,86,298.15,298.15,1009.0,1002.0,1.36,111.0,97,1575422813,BR,1575367545,1575411255,-14400,3662489,200
278,Sikonge,32.75,-5.63,500,Rain,light rain,10n,stations,293.15,1015,100,293.15,293.15,,,5.1,220.0,75,1575422813,TZ,1575429983,1575474721,10800,149929,200
279,Shimoda,138.93,34.7,802,Clouds,scattered clouds,03d,stations,285.12,1017,62,284.15,287.15,,,2.6,210.0,40,1575422813,JP,1575408918,1575444806,32400,1852357,200
280,Palmer,139.16,-34.85,802,Clouds,scattered clouds,03d,stations,290.86,1017,55,289.26,292.04,,,4.6,260.0,40,1575422813,AU,1575400982,1575452631,37800,2067070,200
281,Port Blair,92.75,11.67,802,Clouds,scattered clouds,03d,stations,301.15,1012,74,301.15,301.15,,,5.1,60.0,40,1575422748,IN,1575417286,1575458610,19800,1259385,200
282,Saint George,22.34,39.45,500,Rain,light rain,10n,stations,283.15,1019,81,283.15,283.15,,,2.6,300.0,90,1575422814,GR,1575437663,1575472040,7200,262462,200
283,Baruun-Urt,113.28,46.68,803,Clouds,broken clouds,04d,model,252.43,1039,98,252.43,252.43,1039.0,912.0,1.08,48.0,59,1575422814,MN,1575417213,1575448826,28800,2032614,200
284,Pandan,122.09,11.72,804,Clouds,overcast clouds,04d,model,300.75,1010,69,300.75,300.75,1010.0,1006.0,2.01,108.0,96,1575422814,PH,1575410247,1575451562,28800,1695555,200
285,Wucheng,119.57,29.09,800,Clear,clear sky,01d,model,278.45,1033,57,278.45,278.45,1033.0,1009.0,1.04,116.0,0,1575422814,CN,1575412799,1575450220,28800,1805528,200
286,Chapais,-74.86,49.78,800,Clear,clear sky,01n,stations,256.15,997,91,256.15,256.15,,,1.5,90.0,1,1575422814,CA,1575376667,1575406857,-18000,5919850,200
287,Agboville,-4.21,5.93,804,Clouds,overcast clouds,04n,model,297.21,1011,92,297.21,297.21,1011.0,1000.0,1.01,225.0,96,1575422814,CI,1575439991,1575482458,0,2293268,200
288,Te Anau,167.72,-45.41,501,Rain,moderate rain,10d,model,283.24,988,81,283.24,283.24,988.0,934.0,4.12,330.0,100,1575422732,NZ,1575392164,1575447737,46800,2181625,200
289,Inuvik,-133.71,68.36,803,Clouds,broken clouds,04n,stations,244.01,1020,75,243.15,246.15,,,2.26,282.0,75,1575422814,CA,1575403246,1575408534,-25200,5983607,200
290,Kulhudhuffushi,73.07,6.62,501,Rain,moderate rain,10d,model,301.24,1009,79,301.24,301.24,1009.0,1009.0,7.43,92.0,82,1575422814,MV,1575421506,1575463839,18000,1337613,200
291,Victoria,115.24,5.28,803,Clouds,broken clouds,04d,stations,298.89,1011,83,298.15,301.15,,,1.0,,75,1575422591,BN,1575411250,1575453848,28800,1733782,200
292,Plettenberg Bay,23.37,-34.05,500,Rain,light rain,10n,model,286.48,1028,75,286.48,286.48,1028.0,1012.0,2.27,291.0,35,1575422814,ZA,1575428893,1575480314,7200,964712,200
293,Tuatapere,167.69,-46.13,501,Rain,moderate rain,10d,stations,287.59,988,82,287.59,287.59,,,4.02,308.0,92,1575422814,NZ,1575392006,1575447909,46800,2180815,200
294,Marondera,31.55,-18.19,802,Clouds,scattered clouds,03n,model,291.27,1012,57,291.27,291.27,1012.0,853.0,2.2,61.0,42,1575422815,ZW,1575428963,1575476317,7200,886990,200
295,Port Elizabeth,-74.98,39.31,800,Clear,clear sky,01n,stations,275.24,1005,59,273.15,277.59,,,4.1,300.0,1,1575422815,US,1575374554,1575409027,-18000,4501427,200
296,Dongsheng,112.52,29.72,802,Clouds,scattered clouds,03d,model,280.81,1032,52,280.81,280.81,1032.0,1028.0,1.68,32.0,48,1575422815,CN,1575414573,1575451831,28800,1788268,200
